id,method,scenario,scenario_title,status,available,init_ms,avg_ms,fps,bg_iou,fg_corruption,bg_miss,flicker,score,sample
0,MODNet,empty_warmup_move,空背景预热后移动,完成,True,1950.253099999827,311.45671111112785,3.2107190640795014,0.9899889718545971,0.02333627724357384,0.004436574582901329,0.0030296520471393335,98.672140988989,assets/live_sim_sample_modnet_empty_warmup_move.jpg
0,MODNet,person_from_start,开播时人已在画面中,完成,True,245.8759999999529,332.77128148143606,3.005067010434871,0.9901782515352456,0.021636086385572854,0.004652476971077062,0.0031235189290382596,98.73828791701024,assets/live_sim_sample_modnet_person_from_start.jpg
0,MODNet,pause_absorb,人物停住后再移动,完成,True,254.3732000003729,307.7759666666563,3.2491165922746417,0.9895743804163627,0.022397253843176857,0.0050775894794600485,0.001405254614432249,98.71883814193649,assets/live_sim_sample_modnet_pause_absorb.jpg
0,MODNet,jitter_light_compress,抖动光照压缩,完成,True,229.15240000020276,306.8063129629216,3.2593853442671916,0.8741114831271285,0.5972019621657918,0.002908496497273085,0.00258173146954054,73.38131343552726,assets/live_sim_sample_modnet_jitter_light_compress.jpg
1,MediaPipe,empty_warmup_move,空背景预热后移动,完成,True,601.8908999994892,104.93992037042214,9.529262043178138,0.8592688409713943,0.6737221279509392,0.0010443928832826101,1.2748833259061497e-05,70.08656838876468,assets/live_sim_sample_mediapipe_empty_warmup_move.jpg
1,MediaPipe,person_from_start,开播时人已在画面中,完成,True,33.013799999935145,106.23083518519842,9.413462656644294,0.8597672758216655,0.6709105282830388,0.0010475855248822513,1.561991668141777e-05,70.20734652373496,assets/live_sim_sample_mediapipe_person_from_start.jpg
1,MediaPipe,pause_absorb,人物停住后再移动,完成,True,31.640499999411986,105.37350641032343,9.490051475614843,0.8595941783281328,0.6719118903186064,0.0010399416041292644,7.064815834052098e-06,70.16468056729808,assets/live_sim_sample_mediapipe_pause_absorb.jpg
1,MediaPipe,jitter_light_compress,抖动光照压缩,完成,True,27.755599999181868,104.56634999996419,9.56330597749986,0.8572674978392072,0.6884631796215256,0.00032405312236357645,0.0002938861736749518,69.47494839253743,assets/live_sim_sample_mediapipe_jitter_light_compress.jpg
2,RVM,empty_warmup_move,空背景预热后移动,完成,True,209.5579999995607,5.459896296357598,183.15366185015625,0.9797394785327532,0.07371683552803496,0.0028378593018810244,0.0023595920051809834,96.46099545038905,assets/live_sim_sample_rvm_empty_warmup_move.jpg
2,RVM,person_from_start,开播时人已在画面中,完成,True,100.56599999916216,5.309385185177638,188.3457246220765,0.9787818235541675,0.0793383809816783,0.0024902604477200947,0.0020404871671047017,96.22752898223669,assets/live_sim_sample_rvm_person_from_start.jpg
2,RVM,pause_absorb,人物停住后再移动,完成,True,102.83819999949628,5.479100000054761,182.51172637659567,0.9742133000334984,0.08830776558739406,0.005047474273601894,0.0013643861370897326,95.72153898320683,assets/live_sim_sample_rvm_pause_absorb.jpg
